source,text,created_at,retweet_count,favorite_count,is_retweet,id_str
Twitter for iPhone,"Happy Birthday @EricTrump!
https://t.co/bJaEY7qFSn",Sat Jan 07 00:07:09 +0000 2017,7769,48269,FALSE,817522928862502913
Twitter for Android,Gross negligence by the Democratic National Committee allowed hacking to take place.The Republican National Committee had strong defense!,Sat Jan 07 03:53:38 +0000 2017,16472,67736,FALSE,817579925771341825
Twitter for Android,Intelligence stated very strongly there was absolutely no evidence that hacking affected the election results. Voting machines not touched!,Sat Jan 07 11:56:29 +0000 2017,18247,68966,FALSE,817701436096126977
Twitter for Android,Only reason the hacking of the poorly defended DNC is discussed is that the loss by the Dems was so big that they are totally embarrassed!,Sat Jan 07 12:03:31 +0000 2017,19739,84016,FALSE,817703208567078913
Twitter for Android,"Having a good relationship with Russia is a good thing, not a bad thing. Only ""stupid"" people, or fools, would think that it is bad! We.....",Sat Jan 07 15:02:20 +0000 2017,29384,100987,FALSE,817748207694467072
Twitter for Android,"have enough problems around the world without yet another one. When I am President, Russia will respect us far more than they do now and....",Sat Jan 07 15:10:46 +0000 2017,18629,78260,FALSE,817750330196819968
Twitter for Android,"both countries will, perhaps, work together to solve some of the many great and pressing problems and issues of the WORLD!",Sat Jan 07 15:21:42 +0000 2017,16259,69956,FALSE,817753083707015168
Twitter for Android,Congratulation to Jane Timken on her major upset victory in becoming the Ohio Republican Party Chair. Jane is a loyal Trump supporter &amp; star,Sat Jan 07 23:54:05 +0000 2017,12192,65268,FALSE,817882028272128001
Twitter for Android,"I look very much forward to meeting Prime Minister Theresa May in Washington in the Spring. Britain, a longtime U.S. ally, is very special!",Sun Jan 08 02:07:09 +0000 2017,17231,85216,FALSE,817915516018892805
Twitter for Android,"""@KellyannePolls: Welcome to President and Mrs. Bush.  
https://t.co/I1K4nj1gVu"" Very nice!",Sun Jan 08 16:36:46 +0000 2017,5437,28740,FALSE,818134360712953858
Twitter for Android,"""@FoxNews: ""We certainly don’t want intelligence interfering with politics and we don’t want politics interfe… https://t.co/bwDjEg1d7S""",Sun Jan 08 16:39:14 +0000 2017,8043,35121,FALSE,818134981344165888
Twitter for Android,Kellyanne Conway went to @MeetThePress this morning for an interview with @chucktodd. Dishonest media cut out 9 of her 10 minutes. Terrible!,Sun Jan 08 16:46:07 +0000 2017,18009,58246,FALSE,818136714396975104
Twitter for iPhone,"RT @MeetThePress: Watch our interview with @KellyannePolls: Russia ""did not succeed"" in attempts to sway election https://t.co/EZhgUIUbYx #…",Sun Jan 08 16:57:46 +0000 2017,6715,0,TRUE,818139647687753733
