na_item,unit,geo,time,values
B1GQ,CP_MPPS,CH,2006-01-01,279389.5
B1GQ,CP_MPPS,CY,2006-01-01,18636.1
B1GQ,CP_MPPS,CZ,2006-01-01,201485.4
B1GQ,CP_MPPS,DE,2006-01-01,2334536.4
B1GQ,CP_MPPS,DK,2006-01-01,167834.9
B1GQ,CP_MPPS,EA,2006-01-01,8661115.4
B1GQ,CP_MPPS,EA18,2006-01-01,8864592.6
B1GQ,CP_MPPS,EA19,2006-01-01,8909235
B1GQ,CP_MPPS,EE,2006-01-01,21466.4
B1GQ,CP_MPPS,EL,2006-01-01,260124.2
B1GQ,CP_MPPS,ES,2006-01-01,1132308.2
B1GQ,CP_MPPS,EU28,2006-01-01,12255850.9
B1GQ,CP_MPPS,FI,2006-01-01,149773.5
B1GQ,CP_MPPS,FR,2006-01-01,1712610.3
B1GQ,CP_MPPS,HR,2006-01-01,62194.8
B1GQ,CP_MPPS,HU,2006-01-01,152522.1
B1GQ,CP_MPPS,IE,2006-01-01,156354.4
B1GQ,CP_MPPS,IS,2006-01-01,9730.2
B1GQ,CP_MPPS,IT,2006-01-01,1555890.3
B1GQ,CP_MPPS,LT,2006-01-01,44612.3
B1GQ,CP_MPPS,LU,2006-01-01,30492.7
B1GQ,CP_MPPS,LV,2006-01-01,28921.8
B1GQ,CP_MPPS,MK,2006-01-01,14658.9
B1GQ,CP_MPPS,MT,2006-01-01,7790.5
B1GQ,CP_MPPS,NL,2006-01-01,549229.6
B1GQ,CP_MPPS,NO,2006-01-01,208606
B1GQ,CP_MPPS,PL,2006-01-01,477996.9
B1GQ,CP_MPPS,PT,2006-01-01,214715.9
B1GQ,CP_MPPS,RO,2006-01-01,205009
B1GQ,CP_MPPS,RS,2006-01-01,58950
B1GQ,CP_MPPS,SE,2006-01-01,281213.1
B1GQ,CP_MPPS,SI,2006-01-01,42791.8
B1GQ,CP_MPPS,SK,2006-01-01,83890.5
B1GQ,CP_MPPS,TR,2006-01-01,775143.2
B1GQ,CP_MPPS,UK,2006-01-01,1737208.7
B1GQ,CP_EUR_HAB,AL,2007-01-01,2600
B1GQ,CP_EUR_HAB,AT,2007-01-01,34200
B1GQ,CP_EUR_HAB,BE,2007-01-01,32500
B1GQ,CP_EUR_HAB,BG,2007-01-01,4300
B1GQ,CP_EUR_HAB,CH,2007-01-01,46200
B1GQ,CP_EUR_HAB,CY,2007-01-01,22900
B1GQ,CP_EUR_HAB,CZ,2007-01-01,13400
B1GQ,CP_EUR_HAB,DE,2007-01-01,31e3
B1GQ,CP_EUR_HAB,DK,2007-01-01,42700
B1GQ,CP_EUR_HAB,EA,2007-01-01,29100
B1GQ,CP_EUR_HAB,EA18,2007-01-01,28600
B1GQ,CP_EUR_HAB,EA19,2007-01-01,28400
B1GQ,CP_EUR_HAB,EE,2007-01-01,12100
B1GQ,CP_EUR_HAB,EL,2007-01-01,21100
B1GQ,CP_EUR_HAB,ES,2007-01-01,23900
B1GQ,CP_EUR_HAB,EU28,2007-01-01,26e3
B1GQ,CP_EUR_HAB,FI,2007-01-01,35300
B1GQ,CP_EUR_HAB,FR,2007-01-01,30400
B1GQ,CP_EUR_HAB,HR,2007-01-01,10200
B1GQ,CP_EUR_HAB,HU,2007-01-01,10200
B1GQ,CP_EUR_HAB,IE,2007-01-01,44800
B1GQ,CP_EUR_HAB,IS,2007-01-01,5e4
B1GQ,CP_EUR_HAB,IT,2007-01-01,27400
B1GQ,CP_EUR_HAB,LT,2007-01-01,9e3
B1GQ,CP_EUR_HAB,LU,2007-01-01,77300
B1GQ,CP_EUR_HAB,LV,2007-01-01,10300
B1GQ,CP_EUR_HAB,MK,2007-01-01,3e3
B1GQ,CP_EUR_HAB,MT,2007-01-01,14200
B1GQ,CP_EUR_HAB,NL,2007-01-01,37400
B1GQ,CP_EUR_HAB,NO,2007-01-01,62300
B1GQ,CP_EUR_HAB,PL,2007-01-01,8200
B1GQ,CP_EUR_HAB,PT,2007-01-01,16600
B1GQ,CP_EUR_HAB,RO,2007-01-01,6e3
B1GQ,CP_EUR_HAB,RS,2007-01-01,4e3
B1GQ,CP_EUR_HAB,SE,2007-01-01,39e3
B1GQ,CP_EUR_HAB,SI,2007-01-01,17400
B1GQ,CP_EUR_HAB,SK,2007-01-01,10400
B1GQ,CP_EUR_HAB,UK,2007-01-01,36600
B1GQ,CP_MEUR,AL,2007-01-01,7809.8
B1GQ,CP_MEUR,AT,2007-01-01,283978
B1GQ,CP_MEUR,BE,2007-01-01,344713
B1GQ,CP_MEUR,BG,2007-01-01,32449.1
B1GQ,CP_MEUR,CH,2007-01-01,350695.6
B1GQ,CP_MEUR,CY,2007-01-01,17591
B1GQ,CP_MEUR,CZ,2007-01-01,138302.9
B1GQ,CP_MEUR,DE,2007-01-01,2513230
B1GQ,CP_MEUR,DK,2007-01-01,233383.2
B1GQ,CP_MEUR,EA,2007-01-01,9253877.2
B1GQ,CP_MEUR,EA18,2007-01-01,9372393
B1GQ,CP_MEUR,EA19,2007-01-01,9401433.7
B1GQ,CP_MEUR,EE,2007-01-01,16246.4
B1GQ,CP_MEUR,EL,2007-01-01,232694.6
B1GQ,CP_MEUR,ES,2007-01-01,1080807
B1GQ,CP_MEUR,EU28,2007-01-01,12983930
B1GQ,CP_MEUR,FI,2007-01-01,186584
B1GQ,CP_MEUR,FR,2007-01-01,1945670
B1GQ,CP_MEUR,HR,2007-01-01,43925.8
B1GQ,CP_MEUR,HU,2007-01-01,102169.1
B1GQ,CP_MEUR,IE,2007-01-01,197201.7
B1GQ,CP_MEUR,IS,2007-01-01,15566
B1GQ,CP_MEUR,IT,2007-01-01,1609550.8
B1GQ,CP_MEUR,LT,2007-01-01,29040.7
B1GQ,CP_MEUR,LU,2007-01-01,37178.9
B1GQ,CP_MEUR,LV,2007-01-01,22679.3
B1GQ,CP_MEUR,MK,2007-01-01,6094.5
B1GQ,CP_MEUR,MT,2007-01-01,5757.5
B1GQ,CP_MEUR,NL,2007-01-01,613280
B1GQ,CP_MEUR,NO,2007-01-01,293273.4
B1GQ,CP_MEUR,PL,2007-01-01,313874
B1GQ,CP_MEUR,PT,2007-01-01,175467.7
B1GQ,CP_MEUR,RO,2007-01-01,125403.4
B1GQ,CP_MEUR,RS,2007-01-01,29451.6
B1GQ,CP_MEUR,SE,2007-01-01,356434.3
B1GQ,CP_MEUR,SI,2007-01-01,35152.6
B1GQ,CP_MEUR,SK,2007-01-01,56241.6
B1GQ,CP_MEUR,TR,2007-01-01,492841.2
B1GQ,CP_MEUR,UK,2007-01-01,2245324
B1GQ,CP_MPPS,AL,2007-01-01,17813.2
B1GQ,CP_MPPS,AT,2007-01-01,269357.3
B1GQ,CP_MPPS,BA,2007-01-01,25397.5
B1GQ,CP_MPPS,BE,2007-01-01,322949.4
B1GQ,CP_MPPS,BG,2007-01-01,79613.9
B1GQ,CP_MPPS,CH,2007-01-01,309629.6
B1GQ,CP_MPPS,CY,2007-01-01,20771.6
B1GQ,CP_MPPS,CZ,2007-01-01,221775.9
B1GQ,CP_MPPS,DE,2007-01-01,2471729.7
B1GQ,CP_MPPS,DK,2007-01-01,175425.1
B1GQ,CP_MPPS,EA,2007-01-01,9208296.1
B1GQ,CP_MPPS,EA18,2007-01-01,9388315.6
B1GQ,CP_MPPS,EA19,2007-01-01,9439181
B1GQ,CP_MPPS,EE,2007-01-01,24272.4
B1GQ,CP_MPPS,EL,2007-01-01,266760.4
B1GQ,CP_MPPS,ES,2007-01-01,1215192.7
B1GQ,CP_MPPS,EU28,2007-01-01,12983930
B1GQ,CP_MPPS,FI,2007-01-01,164360.8
B1GQ,CP_MPPS,FR,2007-01-01,1802731.4
B1GQ,CP_MPPS,HR,2007-01-01,68661.8
B1GQ,CP_MPPS,HU,2007-01-01,157735.1
B1GQ,CP_MPPS,IE,2007-01-01,169546.9
B1GQ,CP_MPPS,IS,2007-01-01,10462.5
B1GQ,CP_MPPS,IT,2007-01-01,1637581.3
B1GQ,CP_MPPS,LT,2007-01-01,50860.3
B1GQ,CP_MPPS,LU,2007-01-01,33226.9
B1GQ,CP_MPPS,LV,2007-01-01,32880.4
B1GQ,CP_MPPS,MK,2007-01-01,15736
B1GQ,CP_MPPS,MT,2007-01-01,8345.5
B1GQ,CP_MPPS,NL,2007-01-01,587095.5
B1GQ,CP_MPPS,NO,2007-01-01,216970.4
B1GQ,CP_MPPS,PL,2007-01-01,527507.9
B1GQ,CP_MPPS,PT,2007-01-01,223392
B1GQ,CP_MPPS,RO,2007-01-01,231482
B1GQ,CP_MPPS,RS,2007-01-01,63741.6
B1GQ,CP_MPPS,SE,2007-01-01,305993.8
B1GQ,CP_MPPS,SI,2007-01-01,45921.5
B1GQ,CP_MPPS,SK,2007-01-01,93764.9
B1GQ,CP_MPPS,TR,2007-01-01,851674.3
B1GQ,CP_MPPS,UK,2007-01-01,1784062.7
B1GQ,CP_EUR_HAB,AL,2008-01-01,3e3
B1GQ,CP_EUR_HAB,AT,2008-01-01,35300
B1GQ,CP_EUR_HAB,BE,2008-01-01,33100
B1GQ,CP_EUR_HAB,BG,2008-01-01,5e3
B1GQ,CP_EUR_HAB,CH,2008-01-01,49300
B1GQ,CP_EUR_HAB,CY,2008-01-01,24200
B1GQ,CP_EUR_HAB,CZ,2008-01-01,15500
B1GQ,CP_EUR_HAB,DE,2008-01-01,31700
B1GQ,CP_EUR_HAB,DK,2008-01-01,44e3
B1GQ,CP_EUR_HAB,EA,2008-01-01,29600
B1GQ,CP_EUR_HAB,EA18,2008-01-01,29100
B1GQ,CP_EUR_HAB,EA19,2008-01-01,28900
B1GQ,CP_EUR_HAB,EE,2008-01-01,12300
B1GQ,CP_EUR_HAB,EL,2008-01-01,21800
B1GQ,CP_EUR_HAB,ES,2008-01-01,24300
B1GQ,CP_EUR_HAB,EU28,2008-01-01,26100
B1GQ,CP_EUR_HAB,FI,2008-01-01,36500
B1GQ,CP_EUR_HAB,FR,2008-01-01,31e3
B1GQ,CP_EUR_HAB,HR,2008-01-01,11200
B1GQ,CP_EUR_HAB,HU,2008-01-01,10800
B1GQ,CP_EUR_HAB,IE,2008-01-01,41800
B1GQ,CP_EUR_HAB,IS,2008-01-01,33800
B1GQ,CP_EUR_HAB,IT,2008-01-01,27600
B1GQ,CP_EUR_HAB,LT,2008-01-01,10200
B1GQ,CP_EUR_HAB,LU,2008-01-01,77900
B1GQ,CP_EUR_HAB,LV,2008-01-01,11200
B1GQ,CP_EUR_HAB,MK,2008-01-01,3300
B1GQ,CP_EUR_HAB,MT,2008-01-01,15e3
B1GQ,CP_EUR_HAB,NL,2008-01-01,38900
B1GQ,CP_EUR_HAB,NO,2008-01-01,66500
B1GQ,CP_EUR_HAB,PL,2008-01-01,9600
B1GQ,CP_EUR_HAB,PT,2008-01-01,16900
B1GQ,CP_EUR_HAB,RO,2008-01-01,6900
B1GQ,CP_EUR_HAB,RS,2008-01-01,4600
B1GQ,CP_EUR_HAB,SE,2008-01-01,38200
B1GQ,CP_EUR_HAB,SI,2008-01-01,18800
B1GQ,CP_EUR_HAB,SK,2008-01-01,12200
B1GQ,CP_EUR_HAB,UK,2008-01-01,31900
B1GQ,CP_MEUR,AL,2008-01-01,8800.3
B1GQ,CP_MEUR,AT,2008-01-01,293761.9
B1GQ,CP_MEUR,BE,2008-01-01,354066
B1GQ,CP_MEUR,BG,2008-01-01,37200.1
B1GQ,CP_MEUR,CH,2008-01-01,378248.1
B1GQ,CP_MEUR,CY,2008-01-01,19006.2
B1GQ,CP_MEUR,CZ,2008-01-01,161313.1
B1GQ,CP_MEUR,DE,2008-01-01,2561740
B1GQ,CP_MEUR,DK,2008-01-01,241613.5
B1GQ,CP_MEUR,EA,2008-01-01,9494651.8
B1GQ,CP_MEUR,EA18,2008-01-01,9601526.6
B1GQ,CP_MEUR,EA19,2008-01-01,9634222.9
B1GQ,CP_MEUR,EE,2008-01-01,16517.3
B1GQ,CP_MEUR,EL,2008-01-01,241990.4
B1GQ,CP_MEUR,ES,2008-01-01,1116225
B1GQ,CP_MEUR,EU28,2008-01-01,13055462.1
B1GQ,CP_MEUR,FI,2008-01-01,193711
B1GQ,CP_MEUR,FR,2008-01-01,1995850
B1GQ,CP_MEUR,HR,2008-01-01,48129.8
B1GQ,CP_MEUR,HU,2008-01-01,108121.5
B1GQ,CP_MEUR,IE,2008-01-01,187756.2
B1GQ,CP_MEUR,IS,2008-01-01,10786.6
B1GQ,CP_MEUR,IT,2008-01-01,1632150.8
B1GQ,CP_MEUR,LT,2008-01-01,32696.3
B1GQ,CP_MEUR,LU,2008-01-01,38128.6
B1GQ,CP_MEUR,LV,2008-01-01,24354.8
B1GQ,CP_MEUR,MK,2008-01-01,6772.1
B1GQ,CP_MEUR,MT,2008-01-01,6128.7
B1GQ,CP_MEUR,NL,2008-01-01,639163
B1GQ,CP_MEUR,NO,2008-01-01,317230.3
B1GQ,CP_MEUR,PL,2008-01-01,366182.3
B1GQ,CP_MEUR,PT,2008-01-01,178872.6
B1GQ,CP_MEUR,RO,2008-01-01,142396.3
B1GQ,CP_MEUR,RS,2008-01-01,33704.5
B1GQ,CP_MEUR,SE,2008-01-01,352317.1
B1GQ,CP_MEUR,SI,2008-01-01,37951.2
B1GQ,CP_MEUR,SK,2008-01-01,66002.8
B1GQ,CP_MEUR,TR,2008-01-01,521812.2
B1GQ,CP_MEUR,UK,2008-01-01,1974766.4
B1GQ,CP_MEUR,XK,2008-01-01,3882.8
B1GQ,CP_MPPS,AL,2008-01-01,19167.1
B1GQ,CP_MPPS,AT,2008-01-01,271730
B1GQ,CP_MPPS,BA,2008-01-01,26790.1
B1GQ,CP_MPPS,BE,2008-01-01,322784.9
B1GQ,CP_MPPS,BG,2008-01-01,84851.8
B1GQ,CP_MPPS,CH,2008-01-01,317838.1
B1GQ,CP_MPPS,CY,2008-01-01,21650.5
B1GQ,CP_MPPS,CZ,2008-01-01,228533.9
B1GQ,CP_MPPS,DE,2008-01-01,2467886.3
B1GQ,CP_MPPS,DK,2008-01-01,179224
B1GQ,CP_MPPS,EA,2008-01-01,9234964.6
B1GQ,CP_MPPS,EA18,2008-01-01,9393093.9
B1GQ,CP_MPPS,EA19,2008-01-01,9445501.8
B1GQ,CP_MPPS,EE,2008-01-01,23950.5
B1GQ,CP_MPPS,EL,2008-01-01,270154.2
B1GQ,CP_MPPS,ES,2008-01-01,1215387.2
B1GQ,CP_MPPS,EU28,2008-01-01,13055462.1
B1GQ,CP_MPPS,FI,2008-01-01,167848.8
B1GQ,CP_MPPS,FR,2008-01-01,1788700.6
B1GQ,CP_MPPS,HR,2008-01-01,70961.5
B1GQ,CP_MPPS,HU,2008-01-01,164057.2
